"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\user\Desktop\rug\lib\telegram\templates.ts", "TypeScript", 0, 0, 0, 135, 0, 0, 0, 0, 9, 20, 164
"c:\Users\user\Desktop\rug\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\user\Desktop\rug\next.config.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 1, 3, 8
"c:\Users\user\Desktop\rug\package-lock.json", "JSON", 13340, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13341
"c:\Users\user\Desktop\rug\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\user\Desktop\rug\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\user\Desktop\rug\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\rug\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\rug\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\rug\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\rug\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\rug\scripts\run-bot.ts", "TypeScript", 0, 0, 0, 311, 0, 0, 0, 0, 28, 46, 385
"c:\Users\user\Desktop\rug\scripts\setup-telegram.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 0, 0, 16, 22, 127
"c:\Users\user\Desktop\rug\tsconfig.json", "JSON with Comments", 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 13409, 34, 51, 2514, 20, 5, 2801, 318, 453, 801, 20406
